scheduler,n_tasks,edge_prob,ccr,comp_min,comp_max,noc_rows,noc_cols,processor_count,alpha,beta,seed,achieved_ccr,runtime_ms,total_computation_work,serial_speedup,makespan,primary_task_count,duplicate_task_count,duplication_ratio,total_task_instance_count,task_instance_ratio,communication_count,average_communication_latency,total_communication_time,average_link_utilization,max_link_utilization,average_processor_utilization,max_processor_utilization,baseline_makespan_heft,speedup_vs_heft,normalized_makespan_vs_heft
contention_aware,20,0.4,1.0,5,20,4,4,16,0.0,1.0,0,0.9999999999999999,92.14170000632294,253.70556034875474,1.9045189164515934,133.21241293914085,20,0,0.0,20,1.0,35,3.9134945834129486,136.9723104194532,0.027962352625905077,0.48314558326167717,0.11903243227822458,1.0,133.21241293914085,1.0,1.0
contention_aware,20,0.4,1.0,5,20,4,4,16,0.0,1.0,1,0.9999999999999999,92.29249999043532,239.10609457567048,1.9313481899282459,123.80268654952054,20,0,0.0,20,1.0,53,3.175996392533859,168.3278088042945,0.04574551746951139,0.6588671135441253,0.12070926187051538,0.7576492224081026,121.30760535697446,0.9798463081691845,1.0205682173446895
contention_aware,20,0.4,1.0,5,20,4,4,16,0.0,1.0,2,1.0,85.50999997532926,236.04939043396465,2.1488683762445415,109.84823130325698,20,0,0.0,20,1.0,49,3.2007401342960042,156.8362665805042,0.042391038845114797,0.5701671317444146,0.13430427351528385,0.9587712525458645,109.84823130325698,1.0,1.0
contention_aware,20,0.4,5.0,5,20,4,4,16,0.0,1.0,0,5.0,75.12699998915195,253.70556034875474,1.310737847501792,193.55934585417387,20,0,0.0,20,1.0,22,19.01380098413654,418.3036216510039,0.04502318782871622,0.7829151697200883,0.08192111546886201,0.8633231458464219,171.26409958962137,0.8848144161359712,1.1301805008637291
contention_aware,20,0.4,5.0,5,20,4,4,16,0.0,1.0,1,5.0,81.96730000781827,239.10609457567048,0.7040763500767687,339.6025083779616,20,0,0.0,20,1.0,49,15.945976977279988,781.3528718867194,0.05858667059260959,0.9226519820802916,0.044004771879798045,0.30957673864492014,158.9146735662392,0.46794316780892165,2.1370116475519025
contention_aware,20,0.4,5.0,5,20,4,4,16,0.0,1.0,2,5.0,76.10489998478442,236.04939043396465,0.8093116378817847,291.66686772449964,20,0,0.0,20,1.0,43,15.67783907409837,674.1470801862299,0.060364669575096765,0.7715666752863499,0.05058197736761155,0.3683085976819798,149.5925229215768,0.512888296461831,1.9497422867679333
contention_aware,40,0.25,0.1,5,20,4,4,16,0.0,1.0,0,0.09999999999999999,180.29889999888837,522.0091180280147,3.2713014254649786,159.57230781746654,40,0,0.0,40,1.0,138,0.2755663385609605,38.028154721412555,0.0082931471765158,0.08008727003059671,0.20445633909156116,1.0,159.57230781746654,1.0,1.0
contention_aware,40,0.25,0.1,5,20,4,4,16,0.0,1.0,1,0.09999999999999999,182.13450000621378,500.86789302425416,2.787033460280512,179.7136274689154,40,0,0.0,40,1.0,128,0.2689443206570699,34.42487304410495,0.0066316581009570824,0.07613571526880866,0.174189591267532,0.99875516039716,179.7136274689154,1.0,1.0
contention_aware,40,0.25,0.1,5,20,4,4,16,0.0,1.0,2,0.1,202.77750000241213,504.33877821726617,2.6629407027604177,189.3916667744295,40,0,0.0,40,1.0,143,0.24075086239624457,34.42737332266297,0.005431538321134446,0.053827509117687765,0.1664337939225261,1.0,189.3916667744295,1.0,1.0
contention_aware,40,0.25,1.0,5,20,4,4,16,0.0,1.0,0,1.0,195.21560001885518,522.0091180280147,3.183483538220551,163.9741848075641,40,0,0.0,40,1.0,134,2.757655298788159,369.52581003761327,0.07188069453475526,0.6339923826456271,0.19896772113878444,0.973155060991683,163.9741848075641,1.0,1.0
contention_aware,40,0.25,1.0,5,20,4,4,16,0.0,1.0,1,0.9999999999999999,209.30349998525344,500.86789302425416,2.7598743611003234,181.48213559423232,40,0,0.0,40,1.0,132,2.6664779050028153,351.97508346037165,0.06533694849732297,0.7197789653655177,0.17249214756877024,0.9890224855496821,181.48213559423232,1.0,1.0
contention_aware,40,0.25,1.0,5,20,4,4,16,0.0,1.0,2,1.0,219.55520001938567,504.33877821726617,2.619632155643549,192.52274680273513,40,0,0.0,40,1.0,136,2.4043245066475856,326.9881329040716,0.05398174000717381,0.5551090640345719,0.16372700972772178,0.9455691336726336,192.52274680273513,1.0,1.0
contention_aware,40,0.25,5.0,5,20,4,4,16,0.0,1.0,0,5.0,213.52719998685643,522.0091180280147,1.05698547890071,493.86593141366194,40,0,0.0,40,1.0,116,13.891735271464944,1611.4412914899335,0.0989248020026173,0.9484495081746857,0.06606159243129439,0.3349130838579596,212.88461331032642,0.43105749914953,2.319876123192347
